product_id,name,category,price,quantity
1000,Sneakers,Clothing,3816.0,165
1001,Cooking Oil,Groceries,4686.51,170
1002,Backpack,Home,4578.47,46
1003,Extension Cord,Home,427.31,190
1004,Headphones,Electronics,719.04,189
1005,Wall Clock,Home,2072.05,99
1006,Wall Clock,Home,2028.53,128
1007,Ball Pen,Stationery,1505.46,37
1008,Laptop Stand,Electronics,4346.04,199
1009,Rice Bag,Groceries,1422.18,31
1010,Tea Box,Groceries,2593.35,139
1011,Cooking Oil,Groceries,3886.02,121
1012,Jeans,Clothing,2697.64,36
1013,Jacket,Clothing,670.56,157
1014,Laptop Stand,Electronics,4783.53,183
1015,Cap,Clothing,4153.6,191
1016,Jacket,Clothing,4544.68,82
1017,Backpack,Home,706.61,152
1018,T-Shirt,Clothing,2186.29,0
1019,Backpack,Home,3614.93,12
1020,Table Lamp,Home,857.77,168
1021,T-Shirt,Clothing,1518.34,119
1022,USB Keyboard,Electronics,989.39,116
1023,Smartphone Charger,Electronics,3855.08,30
1024,Office File,Stationery,2017.76,76
1025,Jacket,Clothing,843.8,114
1026,Jacket,Clothing,3879.3,90
1027,Table Lamp,Home,4617.31,65
1028,Office File,Stationery,368.62,190
1029,Wall Clock,Home,1417.05,122
1030,Jacket,Clothing,665.4,113
1031,Backpack,Home,282.33,10
1032,Bluetooth Speaker,Electronics,3955.24,197
1033,Bluetooth Speaker,Electronics,1579.43,3
1034,Bluetooth Speaker,Electronics,3220.63,45
1035,Jeans,Clothing,3303.76,177
1036,Coffee Jar,Groceries,783.72,146
1037,Sneakers,Clothing,4673.51,142
1038,Sneakers,Clothing,4815.41,171
1039,Office File,Stationery,3351.79,70
1040,Laptop Stand,Electronics,2005.67,110
1041,Rice Bag,Groceries,2092.18,162
1042,Sugar Pack,Groceries,3482.98,132
1043,Power Bank,Electronics,1538.68,154
1044,Sugar Pack,Groceries,3689.42,184
1045,Tea Box,Groceries,763.8,37
1046,Rice Bag,Groceries,2242.68,166
1047,Sugar Pack,Groceries,2378.68,160
1048,Headphones,Electronics,3422.19,59
1049,T-Shirt,Clothing,2040.82,153
1050,Ball Pen,Stationery,3087.24,119
1051,Table Lamp,Home,1625.68,122
1052,Wireless Mouse,Electronics,3108.44,138
1053,Sneakers,Clothing,1898.71,164
1054,Marker,Stationery,3742.48,186
1055,Notebook,Stationery,3504.39,137
1056,Laptop Stand,Electronics,3938.83,161
